name,img_url,meaning_upright,meaning_reversed
The Fool,upload.wikimedia.org/wikipedia/en/thumb/9/90/RWS_Tarot_00_Fool.jpg/69px-RWS_Tarot_00_Fool.jpg,"New beginnings, innocence, adventure","Recklessness, fearlessness, risk"
The Magician,upload.wikimedia.org/wikipedia/en/thumb/d/de/RWS_Tarot_01_Magician.jpg/68px-RWS_Tarot_01_Magician.jpg,"Willpower, creation, manifestation","Manipulation, illusions"
The High Priestess,upload.wikimedia.org/wikipedia/en/thumb/8/88/RWS_Tarot_02_High_Priestess.jpg/69px-RWS_Tarot_02_High_Priestess.jpg,"Intuitive, unconscious, divine feminine","Repressed feelings, withdrawal, silence"
The Empress,upload.wikimedia.org/wikipedia/en/thumb/d/d2/RWS_Tarot_03_Empress.jpg/69px-RWS_Tarot_03_Empress.jpg,"Femininity, nurturing, fertility, abundance","Dependence, smothering, emptiness"
The Emperor,upload.wikimedia.org/wikipedia/en/thumb/c/c3/RWS_Tarot_04_Emperor.jpg/70px-RWS_Tarot_04_Emperor.jpg,"Authority, structure, a father figure","Excessive control, rigidity, domination"
The Hierophant,upload.wikimedia.org/wikipedia/en/thumb/8/8d/RWS_Tarot_05_Hierophant.jpg/68px-RWS_Tarot_05_Hierophant.jpg,"Spiritual wisdom, tradition, conformity, morality, ethics","Rebellion, subversiveness, freedom, personal beliefs"
The Lovers,upload.wikimedia.org/wikipedia/en/thumb/d/db/RWS_Tarot_06_Lovers.jpg/69px-RWS_Tarot_06_Lovers.jpg,"Love, harmony, partnerships, choices","Disbalance, one-sidedness, disharmony"
The Chariot,upload.wikimedia.org/wikipedia/en/thumb/9/9b/RWS_Tarot_07_Chariot.jpg/68px-RWS_Tarot_07_Chariot.jpg,"Direction, control, willpower, determination, success, action","Lack of control, opposition, lack of direction, self-discipline"
Strength,upload.wikimedia.org/wikipedia/en/thumb/f/f5/RWS_Tarot_08_Strength.jpg/66px-RWS_Tarot_08_Strength.jpg,"Strength, courage, compassion, focus, persuasion, influence","Self-doubt, weakness, insecurity, low energy, raw emotion"
The Hermit,upload.wikimedia.org/wikipedia/en/thumb/4/4d/RWS_Tarot_09_Hermit.jpg/69px-RWS_Tarot_09_Hermit.jpg,"Wisdom, soul searching, solitude, spiritual enlightenment, receiving or giving guidance","Loneliness, isolation, paranoia, sadness, being overcome or paralyzed by fear"
Wheel of Fortune,upload.wikimedia.org/wikipedia/en/thumb/3/3c/RWS_Tarot_10_Wheel_of_Fortune.jpg/69px-RWS_Tarot_10_Wheel_of_Fortune.jpg,"Chance, destiny and fate, karma, turning points, life cycles","Upheaval, lousy luck, unwelcome change, setbacks, external forces"
Justice,upload.wikimedia.org/wikipedia/en/thumb/e/e0/RWS_Tarot_11_Justice.jpg/69px-RWS_Tarot_11_Justice.jpg,"Fairness, integrity, legal disputes, cause and effect, life lessons","Injustice, dishonesty, failure to take responsibility, deceitful practices, negative karma"
The Hanged Man,upload.wikimedia.org/wikipedia/en/thumb/2/2b/RWS_Tarot_12_Hanged_Man.jpg/68px-RWS_Tarot_12_Hanged_Man.jpg,"Letting go, sacrificing, pausing to reflect, uncertainty, spiritual development","Discontentment, stagnation, negative patterns, no solution, fear of sacrifice"
Death,upload.wikimedia.org/wikipedia/en/thumb/d/d7/RWS_Tarot_13_Death.jpg/68px-RWS_Tarot_13_Death.jpg,"Ending of a cycle, transitions, getting rid of excess, powerful movement, resolutions","Resisting change, fear of new beginnings, dependency, repeating negative patterns"
Temperance,upload.wikimedia.org/wikipedia/en/thumb/f/f8/RWS_Tarot_14_Temperance.jpg/69px-RWS_Tarot_14_Temperance.jpg,"Balance, moderation, good health, cooperating with others, finding solutions","Imbalance, discord, hastiness, overindulgence, risky behavior"
Devil,upload.wikimedia.org/wikipedia/en/thumb/5/55/RWS_Tarot_15_Devil.jpg/69px-RWS_Tarot_15_Devil.jpg,"Material focus, trapped in bondage, addictions and depression, negative thinking, betrayal","Overcoming addiction, independence, reclaiming power, detachment, freedom"
The Tower,upload.wikimedia.org/wikipedia/en/thumb/5/53/RWS_Tarot_16_Tower.jpg/70px-RWS_Tarot_16_Tower.jpg,"Intense and sudden change, release, painful loss, tragedy, revelation","Resisting change, avoiding tragedy, a narrow escape, delaying what is inevitable"
The Star,upload.wikimedia.org/wikipedia/en/thumb/d/db/RWS_Tarot_17_Star.jpg/69px-RWS_Tarot_17_Star.jpg,"Hope, renewal, creativity and inspiration, generosity, healing","Despair, lack of hope, creative block, boredom, focusing on the negative"
The Moon,upload.wikimedia.org/wikipedia/en/thumb/7/7f/RWS_Tarot_18_Moon.jpg/68px-RWS_Tarot_18_Moon.jpg,"Fear, anxiety, confusion, delusion, risk","Overcoming fear, finding the truth, conquering anxiety, gaining clarity"
The Sun,upload.wikimedia.org/wikipedia/en/thumb/1/17/RWS_Tarot_19_Sun.jpg/69px-RWS_Tarot_19_Sun.jpg,"Happiness, fertility, success, optimism, truth","Sadness, procrastination, pessimism, lies, failure"
Judgement,upload.wikimedia.org/wikipedia/en/thumb/d/dd/RWS_Tarot_20_Judgement.jpg/69px-RWS_Tarot_20_Judgement.jpg,"Reflection, inner calling, reckoning, awakening, rebirth, absolution","Feeling down, self-doubt, missing the call fearlessness"
The World,upload.wikimedia.org/wikipedia/en/thumb/f/ff/RWS_Tarot_21_World.jpg/68px-RWS_Tarot_21_World.jpg,"Fulfillment, harmony, completion, integration, travel, unity","Incompletion, shortcuts, delays, emptiness"
Ace of Wands,upload.wikimedia.org/wikipedia/en/thumb/1/11/Wands01.jpg/69px-Wands01.jpg,"Creation, invention, enterprise, the powers which result in these; principle, beginning, source; birth, family, origin, and in a sense the virility which is behind them; the starting point of enterprises; according to another account, money, fortune, inheritance.","Fall, decadence, ruin, perdition, to perish also a certain clouded joy."
Two of Wands,upload.wikimedia.org/wikipedia/en/thumb/0/0f/Wands02.jpg/69px-Wands02.jpg,"Between the alternative readings there is no marriage possible; on the one hand, riches, fortune, magnificence; on the other, physical suffering, disease, chagrin, sadness, mortification. The design gives one suggestion; here is a lord overlooking his dominion and alternately contemplating a globe; it looks like the malady, the mortification, the sadness of Alexander amidst the grandeur of this world's wealth.","Surprise, wonder, enchantment, emotion, trouble, fear."
Three of Wands,upload.wikimedia.org/wikipedia/en/thumb/f/ff/Wands03.jpg/68px-Wands03.jpg,"He symbolizes established strength, enterprise, effort, trade, commerce, discovery; those are his ships, bearing his merchandise, which are sailing over the sea. The card also signifies able co-operation in business, as if the successful merchant prince were looking from his side towards yours with a view to help you.","The end of troubles, suspension or cessation of adversity, toil and disappointment."
Four of Wands,upload.wikimedia.org/wikipedia/en/thumb/a/a4/Wands04.jpg/68px-Wands04.jpg,"They are for once almost on the surface - country life, haven of refuge, a species of domestic harvest-home, repose, concord, harmony, prosperity, peace, and the perfected work of these.","The meaning remains unaltered; it is prosperity, increase, felicity, beauty, embellishment."
Five of Wands,upload.wikimedia.org/wikipedia/en/thumb/9/9d/Wands05.jpg/68px-Wands05.jpg,"Imitation, as, for example, sham fight, but also the strenuous competition and struggle of the search after riches and fortune. In this sense it connects with the battle of life. Hence some attributions say that it is a card of gold, gain, opulence.","Litigation, disputes, trickery, contradiction."
Six of Wands,upload.wikimedia.org/wikipedia/en/thumb/3/3b/Wands06.jpg/69px-Wands06.jpg,"The card has been so designed that it can cover several significations; on the surface, it is a victor triumphing, but it is also great news, such as might be carried in state by the King's courier; it is expectation crowned with its own desire, the crown of hope, and so forth.","Apprehension, fear, as of a victorious enemy at the gate; treachery, disloyalty, as of gates being opened to the enemy; also indefinite delay."
Seven of Wands,upload.wikimedia.org/wikipedia/en/thumb/e/e4/Wands07.jpg/68px-Wands07.jpg,"It is a card of valour, for, on the surface, six are attacking one, who has, however, the vantage position. On the intellectual plane, it signifies discussion, wordy strife; in business - negotiations, war of trade, barter, competition. It is further a card of success, for the combatant is on the top and his enemies may be unable to reach him.","Perplexity, embarrassments, anxiety. It is also a caution against indecision."
Eight of Wands,upload.wikimedia.org/wikipedia/en/thumb/6/6b/Wands08.jpg/68px-Wands08.jpg,"Activity in undertakings, the path of such activity, swiftness, as that of an express messenger; great haste, great hope, speed towards an end which promises assured felicity; generally, that which is on the move; also the arrows of love.","Arrows of jealousy, internal dispute, stingings of conscience, quarrels; and domestic disputes for persons who are married."
Nine of Wands,upload.wikimedia.org/wikipedia/en/thumb/e/e7/Wands09.jpg/69px-Wands09.jpg,"The card signifies strength in opposition. If attacked, the person will meet an onslaught boldly; and his build shews, that he may prove a formidable antagonist. With this main significance there are all its possible adjuncts - delay, suspension, adjournment.","Obstacles, adversity, calamity."
Ten of Wands,upload.wikimedia.org/wikipedia/en/thumb/0/0b/Wands10.jpg/69px-Wands10.jpg,"A card of many significances, and some of the readings cannot be harmonized. I set aside that which connects it with honour and good faith. The chief meaning is oppression simply, but it is also fortune, gain, any kind of success, and then it is the oppression of these things. It is also a card of false-seeming, disguise, perfidy. The place which the figure is approaching may suffer from the rods that he carries. Success is stultified if the Nine of Swords follows, and if it is a question of a lawsuit, there will be certain loss.","Contrarieties, difficulties, intrigues, and their analogies."
Page of Wands,upload.wikimedia.org/wikipedia/en/thumb/6/6a/Wands11.jpg/68px-Wands11.jpg,"Dark young man, faithful, a lover, an envoy, a postman. Beside a man, he will bear favourable testimony concerning him. A dangerous rival, if followed by the Page of Cups. Has the chief qualities of his suit. He may signify family intelligence.","Anecdotes, announcements, evil news. Also indecision and the instability which accompanies it."
Knight of Wands,upload.wikimedia.org/wikipedia/en/thumb/1/16/Wands12.jpg/68px-Wands12.jpg,"Departure, absence, flight, emigration. A dark young man, friendly. Change of residence.","Rupture, division, interruption, discord."
Queen of Wands,upload.wikimedia.org/wikipedia/en/thumb/0/0d/Wands13.jpg/69px-Wands13.jpg,"A dark woman, countrywoman, friendly, chaste, loving, honourable. If the card beside her signifies a man, she is well disposed towards him; if a woman, she is interested in the Querent. Also, love of money, or a certain success in business.","Good, economical, obliging, serviceable. Signifies also - but in certain positions and in the neighbourhood of other cards tending in such directions - opposition, jealousy, even deceit and infidelity."
King of Wands,upload.wikimedia.org/wikipedia/en/thumb/c/ce/Wands14.jpg/67px-Wands14.jpg,"Dark man, friendly, countryman, generally married, honest and conscientious. The card always signifies honesty, and may mean news concerning an unexpected heritage to fall in before very long.","Good, but severe; austere, yet tolerant."
Ace of Cups,upload.wikimedia.org/wikipedia/en/thumb/3/36/Cups01.jpg/67px-Cups01.jpg,"House of the true heart, joy, content, abode, nourishment, abundance, fertility; Holy Table, felicity hereof.","House of the false heart, mutation, instability, revolution."
Two of Cups,upload.wikimedia.org/wikipedia/en/thumb/f/f8/Cups02.jpg/68px-Cups02.jpg,"Love, passion, friendship, affinity, union, concord, sympathy, the interrelation of the sexes, and - as a suggestion apart from all offices of divination - that desire which is not in Nature, but by which Nature is sanctified.",Passion.
Three of Cups,upload.wikimedia.org/wikipedia/en/thumb/7/7a/Cups03.jpg/68px-Cups03.jpg,"The conclusion of any matter in plenty, perfection and merriment; happy issue, victory, fulfilment, solace, healing.","Expedition, dispatch, achievement, end. It signifies also the side of excess in physical enjoyment, and the pleasures of the senses."
Four of Cups,upload.wikimedia.org/wikipedia/en/thumb/3/35/Cups04.jpg/68px-Cups04.jpg,"Weariness, disgust, aversion, imaginary vexations, as if the wine of this world had caused satiety only; another wine, as if a fairy gift, is now offered the wastrel, but he sees no consolation therein. This is also a card of blended pleasure.","Novelty, presage, new instruction, new relations."
Five of Cups,upload.wikimedia.org/wikipedia/en/thumb/d/d7/Cups05.jpg/67px-Cups05.jpg,"It is a card of loss, but something remains over; three have been taken, but two are left; it is a card of inheritance, patrimony, transmission, but not corresponding to expectations; with some interpreters it is a card of marriage, but not without bitterness or frustration.","News, alliances, affinity, consanguinity, ancestry, return, false projects."
Six of Cups,upload.wikimedia.org/wikipedia/en/thumb/1/17/Cups06.jpg/67px-Cups06.jpg,"A card of the past and of memories, looking back, as - for example - on childhood; happiness, enjoyment, but coming rather from the past; things that have vanished. Another reading reverses this, giving new relations, new knowledge, new environment, and then the children are disporting in an unfamiliar precinct.","The future, renewal, that which will come to pass presently."
Seven of Cups,upload.wikimedia.org/wikipedia/en/thumb/a/ae/Cups07.jpg/68px-Cups07.jpg,"Fairy favours, images of reflection, sentiment, imagination, things seen in the glass of contemplation; some attainment in these degrees, but nothing permanent or substantial is suggested.","Desire, will, determination, project."
Eight of Cups,upload.wikimedia.org/wikipedia/en/thumb/6/60/Cups08.jpg/68px-Cups08.jpg,"The card speaks for itself on the surface, but other readings are entirely antithetical - giving joy, mildness, timidity, honour, modesty. In practice, it is usually found that the card shews the decline of a matter, or that a matter which has been thought to be important is really of slight consequence - either for good or evil.","Great joy, happiness, feasting."
Nine of Cups,upload.wikimedia.org/wikipedia/en/thumb/2/24/Cups09.jpg/68px-Cups09.jpg,"Concord, contentment, physical bien-etre; also victory, success, advantage; satisfaction for the Querent or person for whom the consultation is made.","Truth, loyalty, liberty; but the readings vary and include mistakes, imperfections, etc."
Ten of Cups,upload.wikimedia.org/wikipedia/en/thumb/8/84/Cups10.jpg/68px-Cups10.jpg,"Contentment, repose of the entire heart; the perfection of that state; also perfection of human love and friendship; if with several picture-cards, a person who is taking charge of the Querent's interests; also the town, village or country inhabited by the Querent.","Repose of the false heart, indignation, violence."
Page of Cups,upload.wikimedia.org/wikipedia/en/thumb/a/ad/Cups11.jpg/67px-Cups11.jpg,"Fair young man, one impelled to render service and with whom the Querent will be connected; a studious youth; news, message; application, reflection, meditation; also these things directed to business.","Taste, inclination, attachment, seduction, deception, artifice."
Knight of Cups,upload.wikimedia.org/wikipedia/en/thumb/f/fa/Cups12.jpg/69px-Cups12.jpg,"Arrival, approach - sometimes that of a messenger; advances, proposition, demeanour, invitation, incitement.","Trickery, artifice, subtlety, swindling, duplicity, fraud."
Queen of Cups,upload.wikimedia.org/wikipedia/en/thumb/6/62/Cups13.jpg/69px-Cups13.jpg,"Good, fair woman; honest, devoted woman, who will do service to the Querent; loving intelligence, and hence the gift of vision; success, happiness, pleasure; also wisdom, virtue; a perfect spouse and a good mother.","The accounts vary; good woman; otherwise, distinguished woman but one not to be trusted; perverse woman; vice, dishonour, depravity."
King of Cups,upload.wikimedia.org/wikipedia/en/thumb/0/04/Cups14.jpg/68px-Cups14.jpg,"Fair man, man of business, law, or divinity; responsible, disposed to oblige the Querent; also equity, art and science, including those who profess science, law and art; creative intelligence.","Dishonest, double-dealing man; roguery, exaction, injustice, vice, scandal, pillage, considerable loss."
Ace of Swords,upload.wikimedia.org/wikipedia/en/thumb/1/1a/Swords01.jpg/68px-Swords01.jpg,"Triumph, the excessive degree in everything, conquest, triumph of force. It is a card of great force, in love as well as in hatred. The crown may carry a much higher significance than comes usually within the sphere of fortune-telling.","The same, but the results are disastrous; another account says - conception, childbirth, augmentation, multiplicity."
Two of Swords,upload.wikimedia.org/wikipedia/en/thumb/9/9e/Swords02.jpg/69px-Swords02.jpg,"Conformity and the equipoise which it suggests, courage, friendship, concord in a state of arms; another reading gives tenderness, affection, intimacy. The suggestion of harmony and other favourable readings must be considered in a qualified manner, as Swords generally are not symbolical of beneficent forces in human affairs.","Imposture, falsehood, duplicity, disloyalty."
Three of Swords,upload.wikimedia.org/wikipedia/en/thumb/0/02/Swords03.jpg/67px-Swords03.jpg,"Removal, absence, delay, division, rupture, dispersion, and all that the design signifies naturally, being too simple and obvious to call for specific enumeration.","Mental alienation, error, loss, distraction, disorder, confusion."
Four of Swords,upload.wikimedia.org/wikipedia/en/thumb/b/bf/Swords04.jpg/67px-Swords04.jpg,"Vigilance, retreat, solitude, hermit's repose, exile, tomb and coffin. It is these last that have suggested the design.","Wise administration, circumspection, economy, avarice, precaution, testament."
Five of Swords,upload.wikimedia.org/wikipedia/en/thumb/2/23/Swords05.jpg/68px-Swords05.jpg,"Degradation, destruction, revocation, infamy, dishonour, loss, with the variants and analogues of these.",The same; burial and obsequies.
Six of Swords,upload.wikimedia.org/wikipedia/en/thumb/2/29/Swords06.jpg/69px-Swords06.jpg,"journey by water, route, way, envoy, commissionary, expedient.","Declaration, confession, publicity; one account says that it is a proposal of love."
Seven of Swords,upload.wikimedia.org/wikipedia/en/thumb/3/34/Swords07.jpg/69px-Swords07.jpg,"Design, attempt, wish, hope, confidence; also quarrelling, a plan that may fail, annoyance. The design is uncertain in its import, because the significations are widely at variance with each other.","Good advice, counsel, instruction, slander, babbling."
Eight of Swords,upload.wikimedia.org/wikipedia/en/thumb/a/a7/Swords08.jpg/69px-Swords08.jpg,"Bad news, violent chagrin, crisis, censure, power in trammels, conflict, calumny; also sickness.","Disquiet, difficulty, opposition, accident, treachery; what is unforeseen; fatality."
Nine of Swords,upload.wikimedia.org/wikipedia/en/thumb/2/2f/Swords09.jpg/69px-Swords09.jpg,"Death, failure, miscarriage, delay, deception, disappointment, despair.","Imprisonment, suspicion, doubt, reasonable fear, shame."
Ten of Swords,upload.wikimedia.org/wikipedia/en/thumb/d/d4/Swords10.jpg/69px-Swords10.jpg,"Whatsoever is intimated by the design; also pain, affliction, tears, sadness, desolation. It is not especially a card of violent death.","Advantage, profit, success, favour, but none of these are permanent; also power and authority."
